"Freq [GHz]","Phase [deg]","Distance [mm]","Mag_H [A_per_meter]","Mag_H_1 [A_per_meter]","Mag_H_2 [A_per_meter]","Mag_H_3 [A_per_meter]","Mag_H_4 [A_per_meter]","Mag_H_5 [A_per_meter]","Mag_H_6 [A_per_meter]","Mag_H_7 [A_per_meter]","Mag_H_8 [A_per_meter]","Mag_H_9 [A_per_meter]","Mag_H_10 [A_per_meter]","Mag_H_11 [A_per_meter]"
0.001,0,0,0.0027502342739957,0.00825362049403202,0.00270478302421973,0.00895832159734265,0.0027502342739957,0.0028692532913474,0.00270478302421973,0.00282225535186021,0.0028692532913474,0.00867564958802494,0.00825362049403202,0.0027502342739957
0.001,0,0.600004,0.00275519553468851,0.00828271970624187,0.00270963657711396,0.00902957533416701,0.00276972003615302,0.00289505595045047,0.00273042933058993,0.00285253336220919,0.00287750322234377,0.00871037754368704,0.00829281120375107,0.00275626866785647
0.001,0,1.200008,0.00276008580060642,0.00831177944941295,0.0027145041098886,0.00910072706625408,0.00278940145523654,0.0029210843788808,0.00275629022017883,0.00288191082133995,0.00288592144158938,0.00874514164962381,0.00833216881730295,0.00276246734542273
0.001,0,1.800012,0.00276490630047446,0.0083407992772608,0.00271938606004092,0.00914794895105901,0.00280927863941618,0.00294733854406053,0.00278236582644383,0.00291151618718797,0.00288562669257627,0.00877993808826302,0.00837169762322699,0.00276874573988025
0.001,0,2.400016,0.00276965828621398,0.00836977884547179,0.00272428286928038,0.00918432622462447,0.0028293948002487,0.00297381841159446,0.00280865628314298,0.00294134955792727,0.00288203716564826,0.00881476316589175,0.00841140203853991,0.00277496182002546
0.001,0,3.00002,0.00277434303294274,0.00839871791170305,0.00272919498352869,0.00922018395140365,0.00284967223580104,0.00300052394526997,0.00283516172433506,0.00297141103122859,0.00287839325680701,0.00884961331265641,0.00845128660873585,0.00278111482656358
0.001,0,3.600024,0.00277896183897487,0.00842761633558245,0.00273412285291975,0.00925552492960679,0.00287009410709911,0.00302745510705704,0.0028618822843795,0.00300170070425932,0.00287469425839415,0.00888448508256276,0.00849135600778643,0.00278720402661298
0.001,0,4.200028,0.00278351602582087,0.00845647407870864,0.00273906693179969,0.00929035221845954,0.00289066054429242,0.00305461185710832,0.00288881809793644,0.00303221867368356,0.00287093947053917,0.00891937515347586,0.00853161503814066,0.00279322871370529
0.001,0,4.800032,0.0027880069381876,0.0084852912046511,0.00274402767872687,0.00932466913820295,0.00291137167668221,0.003081994153759,0.00291596929996669,0.00306296503566205,0.00286712820115945,0.00895428032712011,0.00857206863072501,0.00279918820778528
0.001,0,5.400036,0.00279243594397833,0.00851406787894997,0.00274900555647185,0.00935847927009362,0.00293222763272146,0.00310960195352693,0.00294333602573174,0.00309393988585226,0.00286325976596023,0.00898919752907924,0.00859701084137188,0.00280508185521099
0.001,0,6.00004,0.00279680443429269,0.00854280436911628,0.00275400103201741,0.00939178645640344,0.00295479769066564,0.00313743521111256,0.0029709184107938,0.00312514331940828,0.00285933348843466,0.00902412380879626,0.00860880053279195,0.0028109090287536
0.001,0,6.600044,0.00280111382342667,0.00857150104463176,0.00275901457655857,0.00942459480041984,0.00298506625052069,0.00316549387939895,0.00299871659101573,0.00315657543098094,0.00285534869986372,0.0090590563395736,0.00862021500843439,0.00281666912759754
0.001,0,7.200048,0.00280536554887266,0.00860015837694896,0.00276404666550255,0.00945690866644561,0.00301555547303933,0.00319377790945178,0.00302673070256108,0.00318712234826516,0.0028513047393163,0.00909575758963224,0.00863124603172268,0.00282236157734042
0.001,0,7.800052,0.00280956107131941,0.00862877693949115,0.00276909777846878,0.00949142712586996,0.00304626628892656,0.00322228725051931,0.00305496088189411,0.00321769025131628,0.00284720095364916,0.00913967906382841,0.00864188562672758,0.00282798582999305
0.001,0,8.400056,0.00281370187465206,0.00865735740765237,0.00277471601279141,0.00952867992150047,0.00307719961752442,0.00325102185003246,0.00308703899272281,0.0032485617909339,0.00284303669750694,0.00918382473354531,0.008652126078167,0.00283354136397946
0.001,0,9.00006,0.00281778946595212,0.00868590055879753,0.00278116950361744,0.00956593894447065,0.00310835636681198,0.00327998165360474,0.00312486261495638,0.0032797369029939,0.00283881133332214,0.00922818662567137,0.00866195993140609,0.00283902768413688
0.001,0,9.600064,0.00282182537549747,0.00871569206421358,0.00278763896938896,0.00960321168326429,0.00313973743340536,0.00330916660503227,0.00316312812124956,0.00331121552886171,0.00283452423131516,0.00927275695219906,0.00867137999245723,0.00284305646612667
0.001,0,10.200068,0.00282581115676235,0.00877158965887662,0.00279412477909563,0.00963335706354808,0.00317134370255772,0.00333857664629378,0.00320183660893983,0.00334299761539236,0.00283017476949426,0.00931752811022507,0.00868037932798002,0.00284465608071555
0.001,0,10.800072,0.00282974838641742,0.0088274342507588,0.00280062730378803,0.00966043487987705,0.00320313916204966,0.00336821171755061,0.00324098916270968,0.00337508311493039,0.00282576233365557,0.00936249268195023,0.00869945864301662,0.00284623736233995
0.001,0,11.400076,0.00283363866432969,0.00888320716701176,0.0028071469165777,0.00968741075654224,0.00323355206878028,0.00339880045544163,0.00328058685458665,0.00340747198530998,0.00282128631738314,0.00940764343467958,0.00872765892717015,0.00284780102887089
0.001,0,12.00008,0.00283748361356254,0.00893889032191563,0.00281368399263716,0.00971428455631158,0.00326409042097101,0.0034302331192977,0.00332063074394329,0.00344016418985483,0.00281674612204884,0.00945297332082224,0.00875531956755771,0.00284934780832192
0.001,0,12.600084,0.00284128488037573,0.00899446621687915,0.00282023890919984,0.00971874206117943,0.00329475473312386,0.00346192048236252,0.0033611218774972,0.00347315969737823,0.00281214115681244,0.00949847547789158,0.00878244500220458,0.0028508784388491
0.001,0,13.200088,0.0028450441342254,0.0090499179404396,0.00282372210716088,0.009717196025668,0.00332554551803345,0.00349386276626516,0.00340206128931099,0.00350645848218304,0.00280949009044799,0.0095441432285051,0.00880903994987198,0.002852393668751
0.001,0,13.800092,0.00284876306776407,0.0091052291682628,0.00282302697449153,0.00971548390890538,0.00335646328678702,0.00352606019338283,0.00344345000079232,0.00354006052406169,0.00281367466701271,0.00958997008038446,0.00883510941005722,0.00285389425646874
0.001,0,14.400096,0.00285331909607405,0.00916038416314317,0.0028259715587083,0.00971360586671198,0.0033875085487644,0.00355851298684087,0.00348528902069389,0.00357396580829617,0.00281770031764485,0.00963594972635548,0.00886065866299351,0.00285538097058592
0.001,0,15.0001,0.00285889021181269,0.00921536777500366,0.00283079012909485,0.00971156217398768,0.00341868181163807,0.00359122137051274,0.0035275793451134,0.00360817432565805,0.00282156672861828,0.00968207604434816,0.00888569326965007,0.00285685458982867
0.001,0,15.600104,0.002864490355739,0.00927016544089579,0.002835573569293,0.00970935322471194,0.00344998358137307,0.00362418556902003,0.00357032195749361,0.00364268607240845,0.00282527361875662,0.00972834309739666,0.0089102190717321,0.00285831590306566
0.001,0,16.200108,0.00287012157543501,0.00932476318499966,0.0028403236904997,0.00970697953194372,0.0034814143622271,0.00365740580773243,0.00361351782862231,0.00367750105029811,0.00282882073943332,0.00977168447973747,0.00893424219168083,0.00285976570930804
0.001,0,16.800112,0.00287578594281675,0.00937914761862393,0.00284504231703556,0.00970444172782156,0.00351297465675043,0.0036908823127678,0.00365716791663229,0.00371261926656726,0.00283220787457158,0.00979022671163409,0.00895776903267345,0.00286120481770951
0.001,0,17.400116,0.00288107651986176,0.00939158034492528,0.00284973128634489,0.0097017405635635,0.00354466496578599,0.0037246153109921,0.00370127316700141,0.00374804073394578,0.00283543484064441,0.00980990169273871,0.00898080627862312,0.00286263404756627
0.001,0,18.00012,0.00288377612935008,0.00940334045889864,0.00285439244899566,0.00969887690946714,0.00357648578846929,0.00375850390030468,0.00374583451255254,0.00378376547065307,0.00283850148667456,0.00983071204830604,0.00900336089417903,0.00286405422831703
0.001,0,18.600124,0.00288649138776457,0.00941478876834747,0.00285902766867952,0.0096958517549096,0.00360843762222844,0.00379127321925325,0.0037908528734536,0.00381979350039812,0.00284140769423461,0.00985711850144469,0.00902544012472632,0.00286546619954305
0.001,0,19.200128,0.00288922394043108,0.00942592786002586,0.00286363882221181,0.00969266620834754,0.00364052096278422,0.00382426081320481,0.00383632915721752,0.00385612485237949,0.00284415337744689,0.00988585531756205,0.00904705149638613,0.00286687081096808
0.001,0,19.800132,0.00289039623092909,0.00943676061162237,0.00286822779953155,0.00968932149731716,0.00367273630414994,0.00385746702988976,0.00388226425870227,0.00389275956128528,0.00284673848298355,0.00991441609007185,0.00906820281601561,0.0028682689224584
0.001,0,20.400136,0.0028914178726085,0.00944729019176008,0.00287279650370143,0.00968581896843417,0.00370508413863158,0.00389089221074686,0.00392865906011087,0.00392969766729321,0.00284916299006649,0.00994280692653591,0.0090889021712079,0.0028696614040228
0.001,0,21.00014,0.00289243649761528,0.00945752005999657,0.00287734685090783,0.00968216008739389,0.00373756495682772,0.0039245366909232,0.00397551443099133,0.00396693921607053,0.0028514269104674,0.00997103411792495,0.00910915793029205,0.00287104913581259
0.001,0,21.600144,0.00289193035086938,0.00946745396682397,0.00288188077046082,0.00967834643897112,0.00377017924762955,0.00395536549161361,0.00402283122823674,0.00400448425877408,0.00285353028850778,0.00999910413861853,0.00912897874233323,0.00287463166404428
0.001,0,22.200148,0.00289137126574483,0.00947709595366887,0.00288640020479411,0.00967437972702017,0.00380852031460835,0.00398437384436962,0.00407061029608517,0.00404233285205026,0.00285547320105886,0.0100270236464052,0.0091483735371325,0.00287963410660686
0.001,0,22.800152,0.0028907903869402,0.00947306336495121,0.00289090710946513,0.00967026177447495,0.00385528211907935,0.00401354592361093,0.00411885246611977,0.00408048505803504,0.00285725575754171,0.0100305081702451,0.00919340616038945,0.00288460524268842
0.001,0,23.400156,0.0028901875895318,0.00945493773682948,0.00289540345315498,0.00966599452334886,0.00390263706631024,0.004042882004768,0.00416755855726871,0.00411894094435397,0.00285887809992715,0.0100096391663445,0.0092481557934798,0.00288763772602795
0.001,0,24.00016,0.00289062212197306,0.00943733378524941,0.00289989121766842,0.00966158003473487,0.00395058520396967,0.00407238235990677,0.00421672937580517,0.00415770058412216,0.00286034040273579,0.00998936239227471,0.00930288820711646,0.00288792090681479
0.001,0,24.600164,0.00289259539732833,0.00942024645987103,0.00290437239793392,0.00965702048880545,0.0039991265644833,0.00410815926286464,0.00426636571534737,0.00419676405594429,0.00286164287303804,0.00996966891145745,0.00935761113893915,0.00288824257308342
0.001,0,25.200168,0.00289456715650378,0.00940367074315414,0.0029088490020036,0.00965231818481265,0.00404296153211521,0.00415808546486022,0.00431646835685858,0.00423613144391461,0.00286278575045407,0.00995054978093051,0.00941233265262682,0.00288860392114211
0.001,0,25.800172,0.00289653667466911,0.0093876016503585,0.00291332305105329,0.00964747554108801,0.00408700729236165,0.00420829109747905,0.00436703806864708,0.00427580283761693,0.00286376930715384,0.00993199605134799,0.0094670611378977,0.00288900615839174
0.001,0,26.400176,0.00289850324382019,0.00937203422954363,0.00291779657938247,0.00964249509504265,0.00413177748563556,0.00425877410941583,0.00441807560636618,0.00432940992137473,0.0028645938478571,0.00991399876698009,0.00952180531050917,0.00288945050332577
0.001,0,27.00018,0.00290046617277901,0.009356963561569,0.00292227163441433,0.0096373795031672,0.00417727144488087,0.00430953249230823,0.00446958171301425,0.00438730860293402,0.00286525970983339,0.0098965489657133,0.00957657421225793,0.00288993818553029
0.001,0,27.600184,0.00290242478719377,0.0093423847600939,0.0029267502766957,0.00963213154103183,0.00422348850434162,0.00436056428073696,0.00452155711893466,0.00444549195808003,0.00286576726290202,0.00987963767905027,0.00963137721097989,0.00289047044568398
0.001,0,28.200188,0.00290437842953881,0.00932829297157744,0.00293123457989714,0.00962675410328625,0.00427042799956189,0.0044118675522257,0.00457400254181584,0.00450395828070186,0.00286699048407413,0.0098632559321099,0.00968622400055018,0.00289104853555811
0.001,0,28.800192,0.00290632645911461,0.0093146833752787,0.00293572663081285,0.0096212502036597,0.00431808926738587,0.00446344042724115,0.00462691868669122,0.00456270596556939,0.00287354627471504,0.00984739474362721,0.00974112460088317,0.00289167371801658
0.001,0,29.400196,0.00290826825204784,0.00930155118325651,0.00294022852936072,0.00961562297496097,0.00436647164595781,0.00451528106919302,0.00468030624593928,0.00462468535400954,0.00287999627634034,0.00983204512595353,0.0097960893579325,0.00289234726701586
0.001,0,30.0002,0.00291020320129132,0.00928889164036966,0.00294474238858233,0.00960987566907837,0.00441557447472206,0.00456323809510682,0.00473416589928354,0.00468932405256158,0.00288634356305903,0.00981719808505631,0.00985112894369099,0.00289307046760506
0.001,0,30.600204,0.00291213071662403,0.00927670002427668,0.00294927033464293,0.00960401165697975,0.00446539709442303,0.004611364606964,0.00478849831379254,0.00475445290869078,0.00289259124982111,0.00980284462051924,0.00988012702696639,0.00289384461592586
0.001,0,31.200208,0.00291405022465111,0.0092649716454361,0.00295381450683146,0.00959803442871252,0.00451593884710522,0.00465983202807241,0.00484330414387984,0.00482007300284329,0.00289874249241751,0.0097889757255422,0.00988364970178027,0.00289467101921256
0.001,0,31.800212,0.00291596116880385,0.00925370184710623,0.00295837705756052,0.00959194759340359,0.00456719907611323,0.00470864027522974,0.00489858403130405,0.00488618541626348,0.00290480048748012,0.00977558238694131,0.00985765281378293,0.00289555099579206
0.001,0,32.400216,0.00291786300933973,0.00924288600534524,0.00296296015236641,0.00958575487925943,0.00461957905908111,0.00475778926400733,0.00495433860516881,0.00495279123099397,0.00291076847248178,0.00976265558514883,0.00983005600224736,0.00289648587508387
0.001,0,33.00022,0.00291975522334234,0.00923251952901121,0.00296756596990911,0.00957946013356607,0.00467360448166049,0.00480727890875023,0.00501018889251527,0.00501989152987558,0.00291664972573632,0.0097501862942133,0.00980256052623374,0.00289747699760009
0.001,0,33.600224,0.00292163730472149,0.00922259785976203,0.00297219670197225,0.00957306732268897,0.00472812139780619,0.00486560711271692,0.00506111910340146,0.00508748739654737,0.00292244756639848,0.00973816548179939,0.00977516391651739,0.00289852571494542
0.001,0,34.200228,0.0029235087642131,0.00921283059896292,0.00297685455346319,0.00956658053207329,0.00478312880435586,0.00493128948342248,0.00511245399726968,0.00515557991544662,0.00292816535446399,0.00972658410918801,0.00974786376785359,0.00289963338981719
0.001,0,34.800232,0.00292536912937928,0.00920365706833285,0.00298154174241291,0.00956000396624359,0.00483862572786917,0.00499764844435091,0.00516419403046826,0.00522417017180884,0.00293380649076952,0.00971543313127633,0.00972065773897758,0.0029008013960053
0.001,0,35.400236,0.00292721794460828,0.00919537936576397,0.00298626049997613,0.00955334194880402,0.00489461122462776,0.00506468517095076,0.00521633964428553,0.00529325925166777,0.00293937441699272,0.00969977988008189,0.00969354355260464,0.00290203111839226
0.001,0,36.00024,0.00292905477111454,0.00918798804471518,0.0029910130704312,0.00954659892243827,0.0049510843806353,0.0051324008220558,0.00526889126494978,0.00536284824185535,0.00294487261565215,0.0096808216761395,0.00966651899542999,0.00290332395295321
0.001,0,36.600244,0.00293087918693863,0.00918147350295572,0.00299580171118018,0.00953977944890956,0.00500804431161744,0.00520079653988509,0.00532184930362921,0.0054329382300018,0.00295030461010738,0.0096612182051767,0.00963958191812885,0.00290468130675586
0.001,0,37.200248,0.0029326907869473,0.00917582598256524,0.00300062869274881,0.00953288820906064,0.00506549016302185,0.00526987345004298,0.00537521415643199,0.00550353030453549,0.00295567396455891,0.00964096456860803,0.00961273023535648,0.00290524911607237
0.001,0,37.800252,0.00293448918283344,0.00917103556993383,0.002998563064316,0.00952593000281379,0.00512342111001818,0.00533963266151905,0.00542898620440627,0.00557462555468308,0.00296098428404819,0.0096200562480877,0.00958596192574803,0.00290231021770352
0.001,0,38.400256,0.00293627400311611,0.00916709219576194,0.002993764003406,0.0095189097491709,0.00518183635749809,0.00541007526668819,0.00548316581354014,0.00564622507046943,0.00296623921445764,0.00959848910550978,0.00955927503191874,0.0028993042917975
0.001,0,39.00026,0.00293804489314054,0.00915884956729146,0.00298898819993521,0.00951183248621325,0.00524073514007524,0.00548056983914237,0.00553775333476166,0.00571832994271763,0.00297144244251065,0.00957625938300807,0.00953266766046378,0.0028962314066433
0.001,0,39.600264,0.00293980151507811,0.00913967948623955,0.0029842352162068,0.00950470337110178,0.00530011672208528,0.00555016767868472,0.00559274910393883,0.00579206592196125,0.00297659769577153,0.00955336370295621,0.00950613798195831,0.00289309165620491
0.001,0,40.200268,0.00294154354792637,0.00912043159503763,0.00297950461705205,0.00949752768007694,0.00535998039758587,0.00562036067978784,0.00564815344187962,0.00587095756851003,0.00298170874264558,0.00952979906796763,0.00947968423095748,0.00288988516012132
0.001,0,40.800272,0.00294327068750901,0.00910111063035698,0.00297479596983029,0.00949031080845868,0.00542032549035667,0.00569114892071821,0.00570396665433193,0.00595015512782714,0.00298362555795748,0.00950556286089545,0.00945330470599648,0.00288661206370653
0.001,0,41.400276,0.0029449826464759,0.00908172154482957,0.00297010884442894,0.0094865086886234,0.00548115135389934,0.0057625324708955,0.00576018903198365,0.00602965875026647,0.00297812351058348,0.00948065284483271,0.00942699776959042,0.00288327253794956
0.001,0,42.00028,0.00294667915430307,0.00906226950704816,0.00296544281326349,0.0094893601244443,0.00554245737143752,0.0058345113908926,0.0058168208504626,0.00610946860773576,0.00297264636865678,0.00945506716311213,0.00940076184823442,0.0028798667795144
0.001,0,42.600284,0.00294835995729269,0.00905293907951636,0.00296079745127751,0.00949209122156402,0.00560424295591689,0.00590708573243557,0.00587386237033658,0.00618958489369662,0.00296719456770121,0.00942880433930629,0.00937459543240361,0.00287639501074008
0.001,0,43.200288,0.00295002481857311,0.00904789699175249,0.00295617233594265,0.00949470682040781,0.00566650755000508,0.00598025553840369,0.00593131383711332,0.00627000782316451,0.00296176854830208,0.00940186327722747,0.00934849707655307,0.00287285747964061
0.001,0,43.800292,0.00295167351809884,0.00904283902126739,0.00295156704725864,0.00949721186356235,0.00572925062609177,0.00605402084282942,0.00600050107433316,0.00635073763270882,0.00295636875610611,0.00937424326092785,0.00932246539911791,0.00286925445990501
0.001,0,44.400296,0.00295330585265053,0.00903776433518815,0.00294698116775327,0.00949961139577562,0.00579247168628859,0.00612838167089844,0.00607527665574823,0.00643177458045278,0.00295099564182151,0.00934672760634016,0.0092964990825132,0.00286558625089732
0.001,0,45.0003,0.00295452541726815,0.00903267214630042,0.00294241428248244,0.00950191056395689,0.00585617026242921,0.0062033380389496,0.00615079061666213,0.00651311894607346,0.0029456496612179,0.00933472331278099,0.00927059687313401,0.00286185317765656
0.001,0,45.600304,0.00295572122593425,0.00902756171304833,0.0029378659790301,0.00950411461717679,0.00592034591606928,0.00627888995447497,0.00622704472568704,0.00659477103080187,0.0029403312751264,0.00932213320541125,0.00924475758135538,0.00285805559089677
0.001,0,46.200308,0.00295690364217533,0.00902243233953455,0.00293333584750828,0.00950622890666725,0.00598499823848647,0.0063550374161198,0.00630404073374064,0.00667673115742283,0.00293504094943954,0.00930895777849,0.00921898008153238,0.00285419386700699
0.001,0,46.800312,0.0029580725721205,0.00901728337552022,0.0029288234805571,0.00950825888582151,0.0060501268506804,0.00643178041368255,0.0063817803740462,0.00675899967027506,0.00292977915511131,0.0092951977938541,0.00919326331200002,0.00285026840805128
0.001,0,47.400316,0.00295922793735368,0.00901211421642498,0.00292432847334475,0.00949376744828378,0.00612951266299193,0.00650911892811486,0.0064578673306583,0.00684157693525114,0.00292454636815716,0.00928085428091818,0.00916760627507334,0.00284627964176867
0.001,0,48.00032,0.00296036967491357,0.00900692430332701,0.0029198504235675,0.00946659292218587,0.00621703398806781,0.00658705293152161,0.00653168219524096,0.00692446333979756,0.002919343069654,0.00926592853667484,0.00914200803704732,0.00284222802157322
0.001,0,48.600324,0.00296149773729369,0.00900171312296295,0.0029153889314497,0.0094390333850759,0.00630472203369146,0.00666558238716082,0.00660567258036815,0.00700765929291463,0.00291416974574015,0.00925042212569445,0.009116467728197,0.002838114026554
0.001,0,49.200328,0.00296261209244232,0.00899648020772798,0.00291094359974377,0.00941109290869701,0.0063925812762309,0.00674470724944376,0.00667983875984682,0.00709116522515655,0.00290902688761543,0.00923433688012521,0.00909098454277731,0.00283393816147506
0.001,0,49.800332,0.00296371272376257,0.00899122513567579,0.0029065140337302,0.0093827758732871,0.00648061618565459,0.00682442746393484,0.00675418101205306,0.00717498158863141,0.00290391499154107,0.00921767489969318,0.00906555773902327,0.00282970095677548
0.001,0,50.400336,0.00296479963011231,0.00898594753051851,0.00290209984121759,0.00935408696757901,0.00656883122553138,0.00690474296735174,0.00682869961993201,0.00725926618727402,0.00289883455883977,0.00920043855170225,0.00904018663914982,0.00282540296856933
0.001,0,51.00034,0.00296587282580422,0.00898064706162687,0.00289770063254258,0.00932503118880022,0.00665723085303059,0.00698565368756528,0.00694256099581704,0.00734653311122573,0.0028937860958957,0.00918263047103417,0.0090148706293519,0.00282104477864568
0.001,0,51.600344,0.00296693234060578,0.00897201926744337,0.00289331602056991,0.0092956138426732,0.00674581951892196,0.0070671595435995,0.00706430050317164,0.00743456222813817,0.00288877011415444,0.00916425356014854,0.00898960915980449,0.00281662699446863
0.001,0,52.200348,0.00296797821973927,0.00894970098419054,0.0028889456206924,0.00926584054341511,0.00683460166757561,0.00714926044563162,0.00718750852763896,0.00752335337851937,0.00288378713012304,0.00914531098908276,0.00896440174466248,0.00281215024917726
0.001,0,52.800352,0.00296901052388175,0.00892930756433135,0.00288458905083091,0.009235717213738,0.00692358173696214,0.0072319562949921,0.00731218122163915,0.00761290640144558,0.00287883766537001,0.0091258061954521,0.0089598578012603,0.00280713342233003
0.001,0,53.400356,0.00297002932916508,0.00890882209946071,0.00288024593143445,0.00920525008484871,0.00701999209193457,0.0073219394808329,0.00743831485591086,0.00770322113456117,0.00287392224652529,0.00910574288444964,0.0089582735799742,0.0027974843679395
0.001,0,54.00036,0.00297103472717592,0.00888823770977531,0.00287591588548003,0.00917444569644891,0.0071247760792465,0.00744204782100208,0.00756590581951113,0.00779429741407868,0.00286904140528028,0.00907534665565432,0.00895696527583093,0.00278803045238847
0.001,0,54.600364,0.00296319439186587,0.00886754780945318,0.00287159853847277,0.00914331089673505,0.00723102848947192,0.00756273689017202,0.00769495061981545,0.00788613507477886,0.00286419567838785,0.0090442137034436,0.00895592948643508,0.00277877421799191
0.001,0,55.200368,0.00295257895523833,0.00884674610665365,0.0028672935184459,0.00911185284239845,0.00733875084735552,0.00768401024065918,0.00779937440859681,0.00797873395001052,0.00285938560766229,0.00901270092765656,0.00895516283453687,0.00276971820662414
0.001,0,55.800372,0.00294200956161515,0.00882582660351736,0.00286220990713125,0.0090728829288906,0.00744794464642543,0.00780587140095597,0.00790120619650397,0.00807209387169074,0.00285461173997935,0.00898080786152067,0.00895466196803212,0.00276086495971881
0.001,0,56.400376,0.00293148548580849,0.00880478359616629,0.00285652815176397,0.00902533358848652,0.00755861134899332,0.00792832387573082,0.00804170945915327,0.00816621467030474,0.00284987462727624,0.00894853422466551,0.00895442355996224,0.00275221701826893
0.001,0,57.00038,0.00292100601212854,0.0087836116747037,0.00285083707914618,0.00897811406827181,0.00767075238615437,0.00805137114582813,0.00819130770428229,0.00826109617490584,0.00284517482655162,0.00891587992312283,0.0089544443085143,0.00274377692282685
0.001,0,57.600384,0.00291057043438351,0.0087623057232142,0.00284513706474757,0.00893122280140976,0.00778436915778719,0.00817501666826828,0.00834217313080401,0.00835673821311561,0.00284051289986558,0.00888284504932654,0.00895472093702092,0.00273554721350426
0.001,0,58.200388,0.00290017805587962,0.00874086091976369,0.00283942849126988,0.00888465820030936,0.00789946303255397,0.00829926387624768,0.00849430649451574,0.00845314061112371,0.00283588941433969,0.00884942988211262,0.0089552501939604,0.0027275304299722
0.001,0,58.800392,0.00288982818942113,0.00871927273639938,0.00283371174864688,0.00883841865662566,0.00801603534790035,0.0084241161791387,0.00864770853992004,0.00855030319368803,0.00283130494215695,0.00881563488671923,0.00895602885295658,0.00271972911146105
0.001,0,59.400396,0.00287952015731029,0.00869753693914987,0.00282798723404438,0.00879250254125947,0.00813408741005548,0.00854957696248966,0.00880238000022465,0.00864822578413452,0.00282676006056183,0.00878146071478671,0.00895705371277897,0.00271214579676054
0.001,0,60.0004,0.0028692532913474,0.00867564958802494,0.00282225535186021,0.00874690820435747,0.00825362049403202,0.00867564958802494,0.00895832159734265,0.00874690820435747,0.00282225535186021,0.00874690820435747,0.00895832159734265,0.00270478302421973
